global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
4730.488896659297,4.300444451508453e-15,1.0,5.808829268930811,17.463577193832958,1.0,0.0,2589.0,2557063.0,0.001,0.9873637543712643,0.9326225701010135,0.01,1.0000000072417885,0.0,4370.0
4731.855312735263,4.30168664794115e-15,1.0,5.81041088255125,17.468545979563746,1.0,0.0,2590.0,2557834.0,0.001,0.9873763906168931,0.9326370360033353,0.01,1.0000000072467699,0.0,4371.0
4733.222123504661,4.302929203186056e-15,1.0,5.811992953025583,17.473516200543372,1.0,0.0,2591.0,2558605.0,0.001,0.9873890142262762,0.9326514939958254,0.01,1.0000000072517512,0.0,4372.0
4734.589329081497,4.304172117346817e-15,1.0,5.813575480485775,17.478487857186416,1.0,0.0,2592.0,2559377.0,0.001,0.98740162521205,0.9326659440835899,0.01,1.0000000072567325,0.0,4373.0
4735.956929579815,4.3054153905271055e-15,1.0,5.815158465063826,17.483460949907563,1.0,0.0,2592.0,2560149.0,0.001,0.987414223586838,0.9326803862717312,0.01,1.000000007261714,0.0,4374.0
4737.324925113687,4.306659022830625e-15,1.0,5.816741906891778,17.488435479121645,1.0,0.0,2593.0,2560921.0,0.001,0.9874268093632511,0.9326948205653475,0.01,1.0000000072666952,0.0,4375.0
4738.693315797221,4.307903014361112e-15,1.0,5.818325806101709,17.49341144524359,1.0,0.0,2594.0,2561694.0,0.001,0.9874393825538879,0.9327092469695327,0.01,1.0000000072716766,0.0,4376.0
4740.062101744557,4.309147365222326e-15,1.0,5.819910162825733,17.49838884868845,1.0,0.0,2595.0,2562466.0,0.001,0.987451943171334,0.9327236654893771,0.01,1.000000007276658,0.0,4377.0
4741.431283069869,4.3103920755180645e-15,1.0,5.821494977196005,17.503367689871403,1.0,0.0,2595.0,2563239.0,0.001,0.9874644912281627,0.9327380761299671,0.01,1.0000000072816393,0.0,4378.0
4742.800859887363,4.3116371453521496e-15,1.0,5.823080249344719,17.50834796920774,1.0,0.0,2596.0,2564012.0,0.001,0.9874770267369345,0.9327524788963847,0.01,1.0000000072866206,0.0,4379.0
4744.170832311277,4.312882574828435e-15,1.0,5.824665979404105,17.513329687112886,1.0,0.0,2597.0,2564785.0,0.001,0.9874895497101975,0.9327668737937082,0.01,1.000000007291602,0.0,4380.0
4745.541200455885,4.314128364050806e-15,1.0,5.826252167506433,17.51831284400237,1.0,0.0,2598.0,2565558.0,0.001,0.9875020601604874,0.9327812608270116,0.01,1.0000000072965833,0.0,4381.0
4746.9119644354905,4.315374513123175e-15,1.0,5.827838813784007,17.52329744029184,1.0,0.0,2598.0,2566332.0,0.001,0.9875145581003268,0.9327956400013654,0.01,1.0000000073015647,0.0,4382.0
4748.283124364432,4.316621022149485e-15,1.0,5.829425918369175,17.528283476397085,1.0,0.0,2599.0,2567106.0,0.001,0.9875270435422265,0.9328100113218355,0.01,1.000000007306546,0.0,4383.0
4749.654680357081,4.317867891233711e-15,1.0,5.8310134813943195,17.53327095273399,1.0,0.0,2600.0,2567880.0,0.001,0.9875395164986843,0.9328243747934845,0.01,1.0000000073115274,0.0,4384.0
4751.026632527841,4.319115120479857e-15,1.0,5.832601502991862,17.53825986971857,1.0,0.0,2601.0,2568654.0,0.001,0.9875519769821857,0.9328387304213704,0.01,1.0000000073165087,0.0,4385.0
